"Game","Opponent","Home_Away","Date","Cal_Score","Opp_Score","FG_attempted","FG_made","FG3_attempted","FG3_made"
1,"Sacramento St.","away",2021-11-09,90,71,69,38,14,7
2,"San Francisco","home",2021-11-13,70,41,51,23,11,5
3,"Utah St.","away",2021-11-16,81,49,73,27,19,6
4,"UC San Diego","home",2021-11-20,64,54,59,19,20,6
5,"Furman","away",2021-11-26,82,73,55,27,25,9
6,"Ole Miss","away",2021-11-27,45,64,56,13,18,2
7,"Fresno St.","away",2021-12-02,73,72,63,29,14,6
8,"Arkansas","home",2021-12-05,67,84,61,25,24,7
9,"McNeese","away",2021-12-11,10,-60,78,41,20,6
10,"Cal Poly","away",2021-12-18,89,73,63,30,18,10
11,"Saint Mary's (CA)","away",2021-12-21,73,55,60,27,8,2
12,"Washington St.","home",2021-12-31,42,69,52,15,9,3
13,"Oregon","away",2022-01-09,53,88,51,15,12,3
14,"Stanford","home",2022-01-21,74,97,52,23,15,7
15,"Southern California","home",2022-02-04,62,59,62,20,20,6
16,"UCLA","home",2022-02-06,54,59,60,17,23,8
17,"Colorado","away",2022-02-11,56,73,44,17,22,5
18,"Utah","away",2022-02-13,75,80,73,30,20,7
19,"Cal State LA","away",2022-02-16,98,53,73,38,22,9
20,"Oregon","home",2022-02-18,47,52,59,17,19,3
21,"Oregon St.","home",2022-02-20,59,68,68,20,31,9
22,"Washington","away",2022-02-24,60,61,54,21,13,4
23,"Washington St.","away",2022-02-26,67,73,59,25,13,6
24,"Utah","home",2022-03-02,60,66,49,22,9,2
